
Import Foldouts,1
Foldout Ingest Script,6
Approve,326
PDF Generation Script,2
Collection,Collection
Fiscal year,2012-09-01,2013-08-31
Period,2013-05-01,2013-05-31
jobs_created_this_fiscal_year,3
jobs_active_this_fiscal_year,1
books_done_this_period,0
jobs_killed_this_period,0
Scan,0
Select File Move Destination,0
Batch,0
Touchup,0
Quality Control,0
Move to precopy node,0
MoveProcessingFiles,0
MoveFilesToArchival,0
MoveFoldoutsToArchival,0
Standard Pages Ingest Script,0
Book Builder,1
Associate rescans,0
Confirm Foldouts Done,0
Import Foldouts,0
Foldout Ingest Script,0
Approve,0
PDF Generation Script,0
Collection,Patron
Fiscal year,2012-09-01,2013-08-31
Period,2013-05-01,2013-05-31
jobs_created_this_fiscal_year,31
jobs_active_this_fiscal_year,2
books_done_this_period,1
jobs_killed_this_period,6
Scan,0
Select File Move Destination,0
Batch,0
Touchup,0
Quality Control,0
Move to precopy node,0
MoveProcessingFiles,0
MoveFilesToArchival,0
MoveFoldoutsToArchival,0
Standard Pages Ingest Script,0
Book Builder,0
Associate rescans,0
Confirm Foldouts Done,0
Import Foldouts,0
Foldout Ingest Script,0
Approve,1
PDF Generation Script,1
Collection,Brittle
Fiscal year,2012-09-01,2013-08-31
Period,2013-05-01,2013-05-31
jobs_created_this_fiscal_year,225
jobs_active_this_fiscal_year,111
books_done_this_period,0
jobs_killed_this_period,8
Scan,1
Select File Move Destination,1
Batch,3
Touchup,1
Quality Control,1
Move to precopy node,0
MoveProcessingFiles,0
MoveFilesToArchival,0
MoveFoldoutsToArchival,0
Standard Pages Ingest Script,0
Book Builder,9
Associate rescans,0
Confirm Foldouts Done,0
Import Foldouts,0
Foldout Ingest Script,1
Approve,93
PDF Generation Script,1
Collection,Foldouts
Fiscal year,2012-09-01,2013-08-31
Period,2013-05-01,2013-05-31
jobs_created_this_fiscal_year,5
jobs_active_this_fiscal_year,3
books_done_this_period,1
jobs_killed_this_period,0
Scan,0
Select File Move Destination,0
Batch,0
Touchup,0
Quality Control,0
Move to precopy node,0
MoveProcessingFiles,0
MoveFilesToArchival,0
MoveFoldoutsToArchival,0
Standard Pages Ingest Script,0
Book Builder,0
Associate rescans,0
Confirm Foldouts Done,0
Import Foldouts,1
Foldout Ingest Script,1
Approve,1
PDF Generation Script,0
Collection,Trans Center
Fiscal year,2012-09-01,2013-08-31
Period,2013-05-01,2013-05-31
jobs_created_this_fiscal_year,20
jobs_active_this_fiscal_year,0
books_done_this_period,0
jobs_killed_this_period,0
Scan,0
Select File Move Destination,0
Batch,0
Touchup,0
Quality Control,0
Move to precopy node,0
MoveProcessingFiles,0
MoveFilesToArchival,0
MoveFoldoutsToArchival,0
Standard Pages Ingest Script,0
Book Builder,0
Associate rescans,0
Confirm Foldouts Done,0
Import Foldouts,0
Foldout Ingest Script,0
Approve,0
PDF Generation Script,0
Collection,Rescan
Fiscal year,2012-09-01,2013-08-31
Period,2013-05-01,2013-05-31
jobs_created_this_fiscal_year,3
jobs_active_this_fiscal_year,3
books_done_this_period,0
jobs_killed_this_period,0
Scan,0
Select File Move Destination,0
Batch,0
Touchup,0
Quality Control,0
Move to precopy node,0
MoveProcessingFiles,0
MoveFilesToArchival,0
MoveFoldoutsToArchival,0
Standard Pages Ingest Script,0
Book Builder,1
Associate rescans,0
Confirm Foldouts Done,0
Import Foldouts,1
Foldout Ingest Script,0
Approve,1
PDF Generation Script,0
Collection,NU Law
Fiscal year,2012-09-01,2013-08-31
Period,2013-05-01,2013-05-31
jobs_created_this_fiscal_year,0
jobs_active_this_fiscal_year,0
books_done_this_period,0
jobs_killed_this_period,0
Scan,0
Select File Move Destination,0
Batch,0
Touchup,0
Quality Control,0
Move to precopy node,0
MoveProcessingFiles,0
MoveFilesToArchival,0
MoveFoldoutsToArchival,0
Standard Pages Ingest Script,0
Book Builder,0
Associate rescans,0
Confirm Foldouts Done,0
Import Foldouts,0
Foldout Ingest Script,0
Approve,0
PDF Generation Script,0
